query_id,cv,recall
0,0.185087,0.93
1,0.251496,1.0
2,0.192447,0.93
3,0.216105,1.0
4,0.164747,0.86
5,0.193986,0.96
6,0.186292,0.82
7,0.167379,0.7
8,0.189072,0.9
9,0.185481,0.85
10,0.198418,0.9
11,0.33116,0.99
12,0.207074,0.96
13,0.232195,0.93
14,0.232156,0.95
15,0.181504,0.77
16,0.161158,0.64
17,0.193855,0.86
18,0.157098,0.72
19,0.199416,0.95
20,0.198604,0.9
21,1.01787,1.0
22,0.216853,0.99
23,0.187667,0.87
24,0.154266,0.63
25,0.219945,0.95
26,0.225403,0.93
27,0.156966,0.67
28,0.187153,0.79
29,0.882428,1.0
30,0.148047,0.58
31,0.301472,0.98
32,0.166965,0.84
33,0.190604,0.93
34,0.519138,1.0
35,0.162637,0.81
36,0.159156,0.82
37,0.33518,1.0
38,0.256805,0.99
39,0.177759,0.83
40,0.132444,0.59
41,0.200864,0.97
42,0.247983,1.0
43,0.201823,0.96
44,0.165162,0.82
45,0.139818,0.61
46,0.243952,0.95
47,1.00983,1.0
48,0.166771,0.68
49,0.15106,0.65
50,0.184346,0.82
51,0.202846,0.91
52,0.215448,0.95
53,0.228032,0.93
54,0.1632,0.66
55,0.165877,0.9
56,0.312152,1.0
57,0.136604,0.58
58,0.258873,0.99
59,0.29759,1.0
60,0.171457,0.89
61,0.175149,0.85
62,0.19227,0.9
63,0.155369,0.54
64,0.279276,1.0
65,0.207717,0.95
66,0.173849,0.78
67,0.163137,0.7
68,0.173303,0.81
69,0.147044,0.55
70,0.187396,0.87
71,0.2242,0.96
72,0.177307,0.84
73,0.237343,0.96
74,0.193285,0.82
75,0.171539,0.92
76,0.177952,0.77
77,0.234646,0.98
78,0.173445,0.91
79,0.200747,0.86
80,0.185063,0.93
81,0.270737,1.0
82,0.178622,0.92
83,0.166521,0.82
84,0.166087,0.78
85,0.223863,0.99
86,0.190157,0.91
87,0.386845,1.0
88,0.166418,0.86
89,0.154581,0.74
90,0.183234,0.87
91,0.140434,0.47
92,0.163619,0.75
93,0.122703,0.45
94,0.230125,1.0
95,0.174421,0.79
96,3.27238,1.0
97,0.297962,1.0
98,0.166962,0.73
99,0.200983,0.99
100,0.246632,0.99
101,0.203842,0.93
102,0.213201,0.95
103,0.146073,0.73
104,0.172461,0.87
105,0.13132,0.39
106,0.227498,0.99
107,0.188854,0.97
108,0.135756,0.38
109,0.217195,0.96
110,0.162003,0.84
111,0.193685,0.92
112,0.155901,0.63
113,0.194511,0.93
114,0.236487,0.95
115,0.210166,0.92
116,0.143717,0.66
117,0.28223,0.99
118,0.243579,1.0
119,0.147427,0.74
120,0.427011,0.96
121,0.300229,0.97
122,0.177019,0.83
123,0.19279,0.87
124,0.17363,0.74
125,0.152529,0.69
126,0.154667,0.81
127,0.174674,0.92
128,0.154278,0.66
129,0.192749,0.91
130,0.176213,0.83
131,0.178077,0.61
132,0.154112,0.72
133,0.190361,0.85
134,0.157341,0.66
135,0.135034,0.66
136,0.212348,0.98
137,0.228247,0.99
138,0.1875,0.87
139,0.202863,0.98
140,0.192882,0.87
141,0.184924,0.89
142,0.272852,0.91
143,0.192522,0.87
144,0.165284,0.87
145,0.188111,0.95
146,0.247624,0.88
147,0.184392,0.97
148,0.143345,0.73
149,0.159379,0.89
150,0.164933,0.74
151,0.390434,0.99
152,0.212016,0.96
153,0.165028,0.78
154,0.175783,0.86
155,0.575782,1.0
156,0.169802,0.75
157,0.213873,0.97
158,0.50971,1.0
159,0.167817,0.92
160,0.264055,1.0
161,0.205121,0.92
162,0.190358,0.91
163,0.208819,1.0
164,0.164305,0.76
165,0.154258,0.72
166,0.18581,0.84
167,0.158635,0.73
168,0.148097,0.71
169,0.151909,0.6
170,0.184319,0.95
171,0.187144,0.86
172,0.21629,0.96
173,0.181159,0.95
174,0.217856,0.98
175,0.240216,0.98
176,0.162867,0.78
177,0.254601,0.99
178,0.276781,0.98
179,0.186974,0.87
180,0.201592,0.96
181,0.158257,0.69
182,0.162458,0.73
183,0.223422,0.93
184,0.192188,0.96
185,0.179013,0.82
186,0.230542,0.99
187,0.201251,0.93
188,0.149732,0.68
189,0.160983,0.9
190,0.177453,0.8
191,0.303787,1.0
192,0.171878,0.71
193,0.1908,0.9
194,0.16899,0.83
195,0.158862,0.76
196,0.172599,0.82
197,0.269895,0.97
198,0.306884,0.99
199,0.158137,0.64
200,0.177362,0.91
201,0.177135,0.86
202,0.192153,0.9
203,0.166294,0.68
204,0.17543,0.78
205,0.191205,0.87
206,0.22196,0.86
207,0.152742,0.61
208,0.183575,0.72
209,0.183378,0.79
210,0.191067,0.79
211,0.166332,0.83
212,0.134303,0.45
213,0.172431,0.92
214,0.22594,0.98
215,0.189126,0.85
216,0.198565,0.94
217,0.173235,0.82
218,0.21816,0.93
219,0.21527,0.95
220,0.212393,0.93
221,0.341395,0.99
222,0.226335,0.98
223,0.157368,0.72
224,0.163178,0.81
225,0.228858,0.98
226,0.165039,0.83
227,0.388292,1.0
228,0.176875,0.9
229,0.181876,0.84
230,0.195837,0.94
231,0.173282,0.76
232,0.184672,0.92
233,0.162809,0.76
234,0.187526,0.84
235,0.140082,0.72
236,0.182722,0.83
237,0.169354,0.7
238,0.169716,0.71
239,0.242781,0.98
240,0.164868,0.8
241,0.322019,0.94
242,0.151985,0.63
243,0.404445,1.0
244,0.198917,0.89
245,0.141098,0.65
246,0.141651,0.74
247,0.504601,0.95
248,0.175994,0.84
249,0.151475,0.68
250,0.217384,0.99
251,0.204437,0.99
252,0.168639,0.73
253,0.247373,0.99
254,0.245277,0.98
255,0.192997,0.91
256,0.169001,0.81
257,0.171123,0.97
258,0.191332,0.92
259,0.21341,0.98
260,0.162267,0.91
261,0.14085,0.75
262,0.225451,0.99
263,0.208407,0.89
264,0.177072,0.75
265,0.134509,0.77
266,0.569037,1.0
267,0.298784,0.99
268,0.177431,0.86
269,0.143801,0.55
270,0.188518,0.77
271,0.164411,0.84
272,0.226413,0.99
273,0.21422,0.9
274,0.170442,0.85
275,0.210104,0.93
276,0.209943,0.93
277,0.161239,0.75
278,0.194194,1.0
279,0.219087,0.96
280,0.20863,0.82
281,0.162354,0.73
282,0.15686,0.58
283,0.254877,0.95
284,0.150512,0.68
285,0.167859,0.83
286,0.150506,0.64
287,0.295951,0.99
288,0.151485,0.8
289,0.207707,0.98
290,0.238566,0.98
291,0.16293,0.76
292,0.187189,0.79
293,0.166442,0.82
294,0.150045,0.68
295,0.18332,0.94
296,0.179302,0.86
297,0.207627,0.92
298,0.451778,1.0
299,0.175136,0.89
300,0.18577,0.86
301,0.129563,0.46
302,0.171882,0.73
303,0.163313,0.78
304,0.197736,0.86
305,0.165884,0.73
306,0.194995,0.89
307,0.229714,0.97
308,0.219493,0.93
309,0.145974,0.64
310,0.189166,0.75
311,0.186985,0.84
312,0.203905,0.93
313,0.184106,0.79
314,0.173996,0.87
315,0.179038,0.84
316,0.146084,0.58
317,0.194234,0.92
318,0.196383,0.93
319,0.122813,0.36
320,0.215541,0.91
321,0.150038,0.81
322,0.19562,0.91
323,0.233238,0.99
324,0.184283,0.79
325,0.239443,0.98
326,0.222365,0.96
327,0.109835,0.23
328,0.176199,0.91
329,0.361738,1.0
330,0.16571,0.7
331,0.157116,0.6
332,0.229021,0.94
333,0.17633,0.86
334,0.178913,0.92
335,0.325492,1.0
336,0.171413,0.82
337,0.165867,0.77
338,0.195869,0.97
339,0.161735,0.83
340,0.292836,0.99
341,0.218997,0.95
342,0.20199,0.95
343,0.161478,0.71
344,0.181678,0.89
345,0.224163,0.88
346,0.248034,0.98
347,0.308343,1.0
348,0.16702,0.79
349,0.217691,0.95
350,0.230463,0.86
351,0.197221,0.92
352,0.274522,1.0
353,0.172652,0.84
354,0.16666,0.74
355,0.202181,0.89
356,0.163959,0.8
357,0.151847,0.61
358,0.246756,1.0
359,0.168927,0.78
360,0.17812,0.97
361,0.176716,0.81
362,0.162764,0.79
363,0.184278,0.91
364,0.173224,0.79
365,0.174904,0.81
366,0.237589,0.93
367,0.222925,0.93
368,0.224239,0.98
369,0.185673,0.89
370,0.129788,0.5
371,0.157928,0.64
372,0.171543,0.83
373,0.161772,0.79
374,0.148061,0.68
375,0.206679,0.92
376,0.200775,0.91
377,0.298708,1.0
378,0.240722,1.0
379,0.214678,0.95
380,0.212043,0.98
381,0.259445,1.0
382,0.179313,0.78
383,0.17984,0.98
384,0.184855,0.95
385,0.160334,0.72
386,0.139709,0.69
387,0.19949,0.88
388,0.160255,0.78
389,0.198078,0.94
390,0.171522,0.87
391,0.152688,0.8
392,0.166506,0.87
393,0.155145,0.73
394,0.173765,0.89
395,0.134107,0.68
396,0.255091,1.0
397,0.172902,0.83
398,0.203866,0.95
399,0.168056,0.93
400,0.156057,0.61
401,0.21925,0.91
402,0.184876,0.92
403,0.152027,0.78
404,0.217346,1.0
405,0.173379,0.86
406,0.155304,0.73
407,0.182111,0.87
408,0.654746,0.98
409,0.176011,0.81
410,0.204878,0.94
411,0.196193,0.89
412,0.156075,0.83
413,0.207741,0.88
414,0.176644,0.89
415,0.204588,0.96
416,0.186297,0.87
417,0.163592,0.76
418,0.204148,0.95
419,0.198764,0.92
420,0.234724,0.89
421,0.171406,0.75
422,0.21633,0.98
423,0.183404,0.68
424,0.254524,0.99
425,0.256413,0.97
426,0.159336,0.73
427,0.20707,0.97
428,0.21286,0.97
429,0.231045,0.97
430,0.30733,0.97
431,0.244533,0.93
432,0.175158,0.89
433,0.175727,0.87
434,0.17896,0.82
435,0.231927,0.91
436,0.184951,0.81
437,0.144876,0.89
438,0.166743,0.88
439,0.170511,0.83
440,0.170699,0.73
441,0.245061,0.97
442,0.147616,0.7
443,0.382284,0.99
444,0.505233,0.99
445,0.156945,0.86
446,0.184988,0.88
447,0.159308,0.76
448,0.212338,0.96
449,0.177555,0.86
450,0.171455,0.81
451,0.288147,1.0
452,0.245764,0.97
453,0.144205,0.56
454,0.22971,0.98
455,0.260295,0.93
456,0.199145,0.9
457,0.208736,0.97
458,0.165683,0.89
459,0.195954,0.96
460,0.202206,0.94
461,0.217086,0.91
462,0.196119,0.89
463,0.223017,0.98
464,0.235102,0.97
465,0.185024,0.91
466,0.203499,0.91
467,0.176241,0.85
468,0.148787,0.77
469,0.189842,0.89
470,0.237268,0.98
471,0.203558,0.94
472,0.137578,0.78
473,0.166095,0.8
474,0.277825,0.99
475,0.241269,1.0
476,0.175828,0.8
477,0.254758,0.96
478,0.156909,0.67
479,0.197141,0.93
480,0.19806,1.0
481,0.142628,0.61
482,0.232209,0.98
483,0.158623,0.79
484,0.172046,0.93
485,0.158921,0.77
486,0.186915,0.92
487,0.296043,1.0
488,0.155741,0.7
489,0.214309,0.98
