query_id,cv,recall
0,0.115419,0.34
1,0.13167,0.78
2,0.124689,0.79
3,0.113038,0.2
4,0.121025,0.64
5,0.105976,0.38
6,0.152101,0.92
7,0.103186,0.13
8,0.136338,0.75
9,0.112126,0.51
10,0.237342,0.99
11,0.114402,0.34
12,0.149284,0.85
13,0.142296,0.8
14,0.299569,1
15,0.171967,0.97
16,0.28804,1
17,0.154949,0.95
18,0.145162,0.74
19,0.157352,0.86
20,0.125451,0.55
21,0.116602,0.65
22,0.114318,0.55
23,0.303694,0.98
24,0.112556,0.3
25,0.146448,0.76
26,0.173428,0.78
27,0.123314,0.46
28,0.130131,0.69
29,0.102844,0.3
30,0.143052,0.79
31,0.132015,0.73
32,0.174205,0.78
33,0.176831,0.83
34,0.15871,0.71
35,0.143987,0.65
36,0.131364,0.69
37,0.159026,0.84
38,0.170413,0.9
39,0.109565,0.29
40,0.105165,0.32
41,0.103333,0.26
42,0.156454,0.9
43,0.220205,0.92
44,0.161896,0.74
45,0.166939,0.91
46,0.102169,0.21
47,0.133615,0.79
48,0.109586,0.09
49,0.316027,1
50,0.18643,0.96
51,0.198736,0.93
52,0.124162,0.72
53,0.129177,0.71
54,0.143362,0.87
55,0.131309,0.58
56,0.120593,0.69
57,0.189426,0.9
58,0.117781,0.63
59,0.101356,0.45
60,0.179919,0.96
61,0.17585,0.87
62,0.110759,0.37
63,0.185084,1
64,0.124947,0.77
65,0.13408,0.4
66,0.30823,0.99
67,0.148183,0.75
68,0.168346,0.89
69,0.103281,0.18
70,0.114752,0.35
71,0.310237,1
72,0.122349,0.7
73,0.159779,0.92
74,0.134366,0.74
75,0.202816,1
76,0.1578,0.8
77,0.1271,0.65
78,0.0893158,0.43
79,0.122279,0.51
80,0.133097,0.57
81,0.209467,0.97
82,0.100857,0.23
83,0.310332,1
84,0.138014,0.68
85,0.243046,0.97
86,0.159307,0.95
87,0.191321,0.99
88,0.157196,0.98
89,0.150919,0.75
90,0.121328,0.38
91,0.155301,0.96
92,0.133147,0.49
93,0.15848,0.87
94,0.0950917,0.08
95,0.154638,0.77
96,0.150355,0.74
97,0.166721,0.98
98,0.121942,0.43
99,0.159283,0.82
100,0.128242,0.49
101,0.0951984,0.13
102,0.125855,0.52
103,0.145579,0.78
104,0.111161,0.31
105,0.154561,0.61
106,0.131215,0.63
107,0.151967,0.85
108,0.192057,0.96
109,0.136856,0.67
110,0.117461,0.54
111,0.220986,1
112,0.131135,0.57
113,0.11956,0.4
114,0.108726,0.39
115,0.11326,0.34
116,0.114348,0.46
117,0.119683,0.6
118,0.220023,1
119,0.109809,0.57
120,0.219438,1
121,0.150186,0.86
122,0.107544,0.46
123,0.106904,0.21
124,0.125465,0.66
125,0.128579,0.72
126,0.126973,0.62
127,0.103837,0.24
128,0.231817,0.95
129,0.171118,0.84
130,0.482249,1
131,0.182614,0.98
132,0.172294,0.89
133,0.280281,1
134,0.120826,0.54
135,0.136752,0.67
136,0.146766,0.85
137,0.13701,0.79
138,0.184746,0.96
139,0.119621,0.39
140,0.164307,0.92
141,0.185156,0.96
142,0.142011,0.94
143,0.17477,0.96
144,0.129392,0.7
145,0.0992573,0.3
146,0.118202,0.71
147,0.179371,0.95
148,0.155356,0.89
149,0.158753,0.77
150,0.199906,0.98
151,0.153425,0.84
152,0.154601,0.84
153,0.126912,0.75
154,0.128715,0.57
155,0.213126,0.99
156,0.140008,0.53
157,0.139102,0.85
158,0.137895,0.62
159,0.103903,0.73
160,0.156542,0.95
161,0.218121,0.97
162,0.130176,0.75
163,0.121063,0.29
164,0.242325,1
165,0.162101,0.97
166,0.158347,0.82
167,0.102565,0.26
168,0.0945415,0.22
169,0.126151,0.77
170,0.132348,0.73
171,0.152568,0.9
172,0.0943011,0.08
173,0.111613,0.39
174,0.102119,0.42
175,0.146086,0.79
176,0.110964,0.23
177,0.138918,0.67
178,0.1506,0.81
179,0.599418,1
180,0.125748,0.61
181,0.14322,0.75
182,0.285807,1
183,0.113687,0.41
184,0.182349,0.9
185,0.158136,0.74
186,0.112341,0.53
187,0.193335,0.93
188,0.12656,0.61
189,0.104596,0.13
190,0.117462,0.43
191,0.122584,0.58
192,0.151398,0.89
193,0.128434,0.45
194,0.139249,0.64
195,0.243068,0.96
196,0.158946,0.96
197,0.261502,1
198,0.110225,0.18
199,0.142637,0.91
200,0.112081,0.36
201,0.127991,0.43
202,0.170233,0.61
203,0.109591,0.31
204,0.150618,0.86
205,0.282237,1
206,0.147247,0.85
207,0.124396,0.98
208,0.120012,0.35
209,0.15333,0.78
210,0.110175,0.45
211,0.129823,0.76
212,0.143455,0.79
213,0.202967,0.93
214,0.120668,0.52
215,0.133257,0.65
216,0.131446,0.61
217,0.119015,0.51
218,0.193448,0.95
219,0.127728,0.56
220,0.16638,0.96
221,0.132997,0.56
222,0.117114,0.36
223,0.168854,0.94
224,0.112543,0.34
225,0.101476,0.2
226,0.259137,0.89
227,0.157889,0.89
228,0.111887,0.36
229,0.204725,0.98
230,0.153048,0.86
231,0.105386,0.28
232,0.119732,0.5
233,0.137074,0.8
234,0.128003,0.45
235,0.123525,0.59
236,0.119567,0.4
237,0.153882,0.84
238,0.11405,0.4
239,0.102576,0.25
240,0.142435,0.47
241,0.10241,0.14
242,0.201498,1
243,0.213111,0.95
244,0.135952,0.79
245,0.27483,0.95
246,0.216454,0.97
247,0.12756,0.7
248,0.290534,0.99
249,0.148187,0.72
250,0.136161,0.64
251,0.182175,0.94
252,0.0979575,0.61
253,0.104424,0.07
254,0.152368,0.82
255,0.160976,0.89
256,0.136267,0.7
257,0.126558,0.66
258,0.147585,0.68
259,0.141216,0.88
260,0.127917,0.46
261,0.114378,0.32
262,0.129524,0.51
263,0.246027,0.99
264,0.121989,0.57
265,0.155248,0.94
266,0.0890663,0.77
267,0.153401,0.82
268,0.174978,0.88
269,0.130106,0.54
270,0.116205,0.46
271,0.133385,0.69
272,0.161159,0.73
273,0.13378,0.69
274,0.119816,0.3
275,0.12026,0.67
276,0.156458,0.77
277,0.120848,0.62
278,0.228109,0.98
279,0.140849,0.8
280,0.146461,0.92
281,0.177335,0.94
282,0.100132,0.86
283,0.145137,0.71
284,0.226936,0.99
285,0.135349,0.74
286,0.117211,0.5
287,0.123895,0.63
288,0.177698,0.92
289,0.403689,1
290,0.185707,0.95
291,0.1426,0.77
292,0.11764,0.32
293,0.112537,0.51
294,0.120526,0.39
295,0.15132,0.92
296,0.28512,0.94
297,0.0955991,0.42
298,0.105817,0.12
299,0.13711,0.83
300,0.184506,0.98
301,0.106848,0.26
302,0.180315,1
303,0.219467,0.93
304,0.135046,0.48
305,0.21005,0.95
306,0.203813,0.99
307,0.152415,0.96
308,0.123837,0.55
309,0.236515,1
310,0.126521,0.63
311,0.164788,0.87
312,0.124378,0.59
313,0.172303,0.93
314,0.139564,0.82
315,0.150812,0.93
316,0.176527,0.9
317,0.176734,0.92
318,0.13318,0.63
319,0.111712,0.29
320,0.24649,0.98
321,0.210987,1
322,0.115654,0.45
323,0.129119,0.72
324,0.166748,0.98
325,0.107809,0.27
326,0.113569,0.52
327,0.190334,0.96
328,0.14933,0.85
329,0.216465,1
330,0.152941,0.89
331,0.12323,0.43
332,0.186639,0.96
333,0.13332,0.49
334,0.186997,0.78
335,0.107348,0.29
336,0.159096,0.9
337,0.0969038,0.12
338,0.151836,0.83
339,0.175156,0.81
340,0.142704,0.77
341,0.0994544,0.2
342,0.12834,0.67
343,0.13143,0.7
344,0.14069,0.74
345,0.114843,0.32
346,0.120802,0.45
347,0.217399,0.98
348,0.138026,0.76
349,0.18904,0.95
350,0.161694,0.9
351,0.121752,0.63
352,0.117349,0.49
353,0.133603,0.69
354,0.169257,0.86
355,0.109298,0.17
356,0.256993,0.96
357,0.152091,0.79
358,0.140757,0.71
359,0.175155,0.99
360,0.131352,0.6
361,0.119741,0.58
362,0.145771,0.89
363,0.121646,0.66
364,0.142852,0.83
365,0.168077,0.93
366,0.100045,0.4
367,0.222313,1
368,0.102113,0.36
369,0.159605,0.91
370,0.165728,0.98
371,0.183668,0.96
372,0.179177,0.98
373,0.123584,0.61
374,0.259617,0.98
375,0.177796,0.98
376,0.0990393,0.43
377,0.122364,0.55
378,0.113145,0.53
379,0.109294,0.56
380,0.237251,0.99
381,0.139678,0.53
382,0.128652,0.64
383,0.134669,0.58
384,0.130473,0.61
385,0.171342,0.98
386,0.125103,0.46
387,0.202378,0.97
388,0.117796,0.27
389,0.125188,0.56
390,0.150661,0.88
391,0.210865,1
392,0.106149,0.19
393,0.194882,0.95
394,0.302606,1
395,0.169156,0.84
396,0.122772,0.48
397,0.198337,0.93
398,0.209755,0.99
399,0.272789,1
400,0.166354,0.84
401,0.168141,0.99
402,0.183756,0.97
403,0.136319,0.83
404,0.118252,0.55
405,0.154846,0.96
406,0.151286,0.85
407,0.222076,0.99
408,0.121563,0.51
409,0.107072,0.38
410,0.215906,1
411,0.169025,0.85
412,0.108137,0.28
413,0.135887,0.75
414,0.174742,0.9
415,0.0889779,0.04
416,0.150411,0.79
417,0.174428,0.98
418,0.165676,1
419,0.129107,0.49
420,0.116697,0.59
421,0.138468,0.75
422,0.157896,0.86
423,0.212197,1
424,0.126104,0.55
425,0.136459,0.68
426,0.215613,0.99
427,0.099448,0.22
428,0.155264,0.8
429,0.117652,0.37
430,0.139839,0.82
431,0.130944,0.67
432,0.130782,0.68
433,0.139526,0.88
434,0.109285,0.4
435,0.153536,0.94
436,0.121217,0.72
437,0.157392,0.92
438,0.147121,0.88
439,0.100429,0.27
440,0.169391,0.97
441,0.135272,0.79
442,0.141324,0.72
443,0.129533,0.59
444,0.191795,0.99
445,0.180351,0.91
446,0.121161,0.46
447,0.120731,0.37
448,0.141992,0.49
449,0.0992916,0.21
450,0.117723,0.4
451,0.122452,0.47
452,0.188458,0.86
453,0.128614,0.89
454,0.116388,0.4
455,0.142419,0.76
456,0.131333,0.57
457,0.150284,0.94
458,0.149394,0.68
459,0.131339,0.67
460,0.141838,0.82
461,0.110246,0.27
462,0.106765,0.22
463,0.102837,0.29
464,0.142755,0.83
465,0.341418,1
466,0.105805,0.13
467,0.156721,0.86
468,0.165648,0.77
469,0.30705,0.99
470,0.110827,0.24
471,0.114867,0.53
472,0.111258,0.35
473,0.125819,0.54
474,0.132186,0.8
475,0.116068,0.39
476,0.115349,0.45
477,0.243878,1
478,0.1145,0.44
479,0.109502,0.34
480,0.120134,0.39
481,0.111835,0.98
482,0.108464,0.2
483,0.132616,0.57
484,0.269977,1
485,0.110764,0.32
486,0.273122,0.96
487,0.196145,0.94
488,0.110512,0.28
489,0.374475,0.99
490,0.25916,0.99
491,0.127606,0.67
492,0.107817,0.35
493,0.184915,0.96
494,0.13489,0.75
495,0.10978,0.36
496,0.16573,0.92
497,0.131267,0.79
498,0.1116,0.39
499,0.117425,0.48
500,0.158163,0.96
501,0.164964,0.96
502,0.152394,0.78
503,0.133571,0.66
504,0.152217,0.91
505,0.133951,0.4
506,0.109787,0.44
507,0.111538,0.35
508,0.121331,0.55
509,0.113307,0.37
510,0.13034,0.53
511,0.129467,0.48
512,0.162264,0.84
513,0.200807,0.89
514,0.201253,1
515,0.175906,0.93
516,0.124146,0.6
517,0.133835,0.8
518,0.115202,0.27
519,0.192298,0.97
520,0.109483,0.23
521,0.0892312,1
522,0.177969,0.98
523,0.12701,0.71
524,0.216198,0.91
525,0.167592,0.9
526,0.172035,0.89
527,0.150151,0.89
528,0.238515,1
529,0.136528,0.64
530,0.15958,0.89
531,0.130791,0.77
532,0.122217,0.49
533,0.108504,0.15
534,0.151455,0.92
535,0.175391,0.9
536,0.20119,0.99
537,0.141313,0.86
538,0.142729,0.91
539,0.178148,0.88
540,0.310033,1
541,0.130404,0.47
542,0.132147,0.55
543,0.10944,0.5
544,0.132797,0.6
545,0.139852,0.65
546,0.126875,0.62
547,0.165828,0.91
548,0.285172,0.99
549,0.132362,0.63
550,0.0990111,0.2
551,0.251002,1
552,0.114945,0.37
553,0.102475,0.29
554,0.177323,0.97
555,0.185371,0.98
556,0.139773,0.65
557,0.115084,0.57
558,0.139936,0.84
559,0.126559,0.61
560,0.14568,0.76
561,0.165269,0.93
562,0.158686,0.85
563,0.154414,0.78
564,0.162314,0.95
565,0.168941,0.91
566,0.141741,0.61
567,0.14882,0.93
568,0.126775,0.75
569,0.188011,0.86
570,0.14239,0.8
571,0.716344,1
572,0.159542,0.89
573,0.159703,0.91
574,0.166955,0.92
575,0.106222,0.24
576,0.129498,0.67
577,0.38305,0.99
578,0.11312,0.34
579,0.118002,0.64
580,0.229459,0.94
581,0.10538,0.21
582,0.103399,0.02
583,0.193301,0.85
584,0.151048,0.85
585,0.154621,0.9
586,0.154424,0.89
587,0.168526,0.92
588,0.278811,0.97
589,0.164129,0.92
590,0.119471,0.19
591,0.117751,0.64
592,0.136626,0.75
593,0.140856,0.71
594,0.103169,0.21
595,0.207751,1
596,0.123068,0.53
597,0.138577,0.58
598,0.163383,0.94
599,0.193014,0.99
600,0.115072,0.46
601,0.0976899,0.27
602,0.137436,0.91
603,0.113152,0.56
604,0.226199,0.92
605,0.126196,0.39
606,0.131208,0.68
607,0.149822,0.91
608,0.100747,0.57
609,0.116457,0.5
610,0.197752,0.99
611,0.127157,0.74
612,0.126638,0.5
613,0.151025,0.89
614,0.154474,0.93
615,0.0972975,0.64
616,0.124771,0.54
617,0.142636,0.85
618,0.124895,0.6
619,0.149907,0.75
620,0.114144,0.44
621,0.128153,0.63
622,0.171551,0.93
623,0.203884,0.99
624,0.124682,0.53
625,0.221578,1
626,0.118094,0.6
627,0.204322,0.98
628,0.127481,0.71
629,0.147156,0.83
630,0.144535,0.74
631,0.113108,0.38
632,0.116682,0.44
633,0.153162,0.94
634,0.152683,0.75
635,0.166089,0.86
636,0.176941,0.85
637,0.194152,0.95
638,0.110724,0.3
639,0.0951538,0.43
640,0.114004,0.39
641,0.218108,0.98
642,0.185208,0.94
643,0.160245,0.94
644,0.118949,0.4
645,0.184739,0.91
646,0.139448,0.65
647,0.183168,0.91
648,0.140799,0.56
649,0.230941,0.99
650,0.124169,0.58
651,0.110841,0.27
652,0.208106,0.98
653,0.12991,0.79
654,0.190699,0.95
655,0.194463,0.98
656,0.114729,0.29
657,0.200771,0.98
658,0.215286,1
659,0.13554,0.59
660,0.147757,0.75
661,0.12796,0.7
662,0.139469,0.7
663,0.106336,0.22
664,0.140272,0.68
665,0.188407,0.81
666,0.142249,0.84
667,0.106942,0.36
668,0.138321,0.62
669,0.186748,0.91
670,0.127502,0.37
671,0.131553,0.45
672,0.136047,0.69
673,0.161892,0.85
674,0.124321,0.66
675,0.100732,0.22
676,0.106283,0.43
677,0.100945,0.18
678,0.162915,0.84
679,0.220727,0.96
680,0.098039,0.26
681,0.134303,0.58
682,0.143374,0.76
683,0.0947069,0.22
684,0.113017,0.47
685,0.152018,0.74
686,0.141937,0.87
687,0.16913,0.98
688,0.344615,0.99
689,0.16564,0.9
690,0.156123,0.97
691,0.149129,0.88
692,0.106961,0.51
693,0.262885,1
694,0.137372,0.79
695,0.180655,0.98
696,0.109792,0.24
697,0.162718,0.93
698,0.171072,0.85
699,0.170938,0.94
700,0.133352,0.65
701,0.118629,0.57
702,0.113918,0.47
703,0.155209,0.88
704,0.198651,0.93
705,0.103816,0.23
706,0.136601,0.66
707,0.258455,0.98
708,0.14366,0.84
709,0.134924,0.59
710,0.146359,0.83
711,0.114645,0.41
712,0.150863,0.9
713,0.207482,0.98
714,0.181293,0.96
715,0.135761,0.81
716,0.146178,0.65
717,0.167893,0.9
718,0.146943,0.66
719,0.133282,0.66
720,0.223461,0.96
721,0.0903569,0.08
722,0.119307,0.59
723,0.113564,0.39
724,0.129593,0.69
725,0.129264,0.77
726,0.2018,1
727,0.147839,0.83
728,0.160218,0.75
729,0.227982,0.99
730,0.126036,0.49
731,0.154096,0.79
732,0.239508,0.96
733,0.128201,0.55
734,0.197632,0.96
735,0.143114,0.79
736,0.149177,0.67
737,0.193385,0.92
738,0.150767,0.86
739,0.154339,0.95
740,0.129219,0.67
741,0.12848,0.64
742,0.27801,0.99
743,0.113628,0.31
744,0.115079,0.58
745,0.137845,0.7
746,0.171341,0.96
747,0.194849,0.98
748,0.129859,0.68
749,0.255281,0.99
750,0.152361,0.93
751,0.145549,0.84
752,0.204717,0.89
753,0.135034,0.65
754,0.123623,0.59
755,0.143746,0.69
756,0.109088,0.17
757,0.118715,0.32
758,0.109549,0.5
759,0.146054,0.85
760,0.298134,0.99
761,0.110316,0.46
762,0.139806,0.67
763,0.207438,0.98
764,0.109093,0.5
765,0.108967,0.33
766,0.0962048,0.49
767,0.143461,0.86
768,0.200566,1
769,0.132464,0.49
770,0.335854,0.99
771,0.131236,0.85
772,0.121832,0.54
773,0.135437,0.24
774,0.109148,0.24
775,0.10867,0.58
776,0.120706,0.71
777,0.0989135,0.29
778,0.146857,0.89
779,0.112989,0.35
780,0.148887,0.67
781,0.160812,0.8
782,0.116616,0.67
783,0.127603,0.48
784,0.110701,0.3
785,0.106816,0.44
786,0.113028,0.34
787,0.136774,0.92
788,0.150785,0.93
789,0.165789,0.77
790,0.111625,0.46
791,0.233932,0.98
792,0.159559,0.94
793,0.187485,0.88
794,0.13993,0.67
795,0.12587,0.51
796,0.140445,0.93
797,0.105915,0.47
798,0.185012,0.96
799,0.148058,0.81
800,0.115527,0.36
801,0.23977,1
802,0.147876,0.77
803,0.112428,0.32
804,0.141833,0.79
805,0.14966,0.89
806,0.1757,0.92
807,0.116271,0.54
808,0.129273,0.59
809,0.106905,0.2
810,0.117967,0.62
811,0.111063,0.28
812,0.120638,0.41
813,0.111859,0.49
814,0.13961,0.72
815,0.116933,0.28
816,0.148133,0.72
817,0.130079,0.45
818,0.0978457,0.12
819,0.116588,0.44
820,0.163589,0.9
821,0.153323,0.98
822,0.145576,0.59
823,0.132102,0.73
824,0.13806,0.54
825,0.116723,0.42
826,0.200687,0.98
827,0.199454,0.97
828,0.109349,0.3
829,0.189115,0.99
830,0.162674,0.87
831,0.110518,0.31
832,0.122706,0.56
833,0.112714,0.34
834,0.151211,0.74
835,0.119632,0.29
836,0.207841,0.9
837,0.179012,0.98
838,0.254135,0.97
839,0.10434,0.5
840,0.165836,0.9
841,0.207846,1
842,0.146787,0.81
843,0.160873,0.95
844,0.257238,0.99
845,0.132541,0.82
846,0.127227,0.78
847,0.133979,0.77
848,0.212691,0.95
849,0.0985469,0.31
850,0.135322,0.68
851,0.0975323,0.42
852,0.216153,1
853,0.124943,0.47
854,0.142332,0.65
855,0.134432,0.69
856,0.143709,0.8
857,0.122519,0.48
858,0.128737,0.72
859,0.161007,0.7
860,0.114626,0.36
861,0.165884,0.88
862,0.137177,0.71
863,0.139,0.68
864,0.2238,0.98
865,0.112037,0.19
866,0.144357,0.83
867,0.144016,0.53
868,0.141468,0.84
869,0.109878,0.2
870,0.11584,0.42
871,0.154148,0.88
872,0.178559,0.9
873,0.137725,0.8
874,0.108826,0.59
875,0.176876,0.96
876,0.171677,0.88
877,0.114201,0.28
878,0.124151,0.55
879,0.129102,0.46
880,0.11406,0.39
881,0.107314,0.52
882,0.141044,0.88
883,0.119746,0.78
884,0.161991,0.97
885,0.106438,0.61
886,0.0996135,0.3
887,0.165515,0.89
888,0.253937,0.98
889,0.136579,0.84
890,0.182125,0.89
891,0.206858,0.99
892,0.124197,0.51
893,0.172881,0.99
894,0.173537,0.98
895,0.156109,0.84
896,0.196134,0.97
897,0.0927075,0.19
898,0.21456,1
899,0.154699,0.88
900,0.138584,0.67
901,0.101884,0.18
902,0.153552,0.93
903,0.116699,0.5
904,0.167434,0.99
905,0.139942,0.79
906,0.171978,0.9
907,0.235696,0.99
908,0.158526,0.75
909,0.118284,0.62
910,0.135947,0.62
911,0.190426,1
912,0.326034,0.99
913,0.155206,0.94
914,0.122938,0.62
915,0.10984,0.21
916,0.106492,0.19
917,0.241409,0.96
918,0.19284,0.97
919,0.163792,0.86
920,0.111973,0.39
921,0.157648,0.94
922,0.125261,0.48
923,0.116113,0.47
924,0.125172,0.69
925,0.239462,0.99
926,0.150798,0.83
927,0.175503,0.59
928,0.157713,0.95
929,0.128653,0.35
930,0.179165,0.94
931,0.104723,0.22
932,0.138433,0.77
933,0.145015,0.93
934,0.176407,0.9
935,0.131354,0.67
936,0.11778,0.63
937,0.137987,0.7
938,0.102359,0.19
939,0.155666,0.88
940,0.19396,0.97
941,0.210997,0.93
942,0.134863,0.79
943,0.160859,0.86
944,0.128646,0.52
945,0.121807,0.47
946,0.162343,0.98
947,0.190648,0.95
948,0.137739,0.74
949,0.112099,0.28
950,0.20498,0.97
951,0.114382,0.48
952,0.130567,0.64
953,0.100734,0.46
954,0.307136,1
955,0.119221,0.52
956,0.0960073,0.25
957,0.164641,0.91
958,0.163485,0.82
959,0.125096,0.5
960,0.251328,1
961,0.143945,0.81
962,0.121214,0.75
963,0.124616,0.6
964,0.145505,0.87
965,0.134006,0.63
966,0.115249,0.39
967,0.109265,0.35
968,0.0985255,0.17
969,0.136053,0.67
970,0.09847,0.13
971,0.121185,0.74
972,0.138751,0.86
973,0.126291,0.7
974,0.240001,0.95
975,0.11915,0.62
976,0.112972,0.44
977,0.124919,0.59
978,0.121357,0.55
979,0.129818,0.63
980,0.202792,0.98
981,0.255958,0.98
982,0.12406,0.56
983,0.202818,0.94
984,0.0979911,0.52
985,0.10902,0.47
986,0.111591,0.58
987,0.107031,0.19
988,0.108747,0.21
989,0.129246,0.75
990,0.109215,0.25
991,0.129178,0.62
992,0.206154,0.97
993,0.20321,0.9
994,0.108404,0.22
995,0.114638,0.15
996,0.120021,0.35
997,0.244856,0.99
998,0.225197,0.99
999,0.141306,0.72
1000,0.104602,0.29
1001,0.146667,0.77
1002,0.238961,0.98
1003,0.0977358,0.14
1004,0.180326,0.89
1005,0.12448,0.64
1006,0.100464,0.17
1007,0.116657,0.36
1008,0.165227,0.79
1009,0.167353,0.88
1010,0.241318,1
1011,0.215961,0.9
1012,0.141393,0.81
1013,0.169102,0.82
1014,0.148439,0.77
1015,0.323397,1
1016,0.106042,0.24
1017,0.126173,0.43
1018,0.107999,0.32
1019,0.145045,0.81
1020,0.189425,0.94
1021,0.144666,0.76
1022,0.193396,0.93
1023,0.102714,0.15
1024,0.297063,0.99
1025,0.158688,0.93
1026,0.114184,0.48
1027,0.24204,1
1028,0.118905,0.41
1029,0.112346,0.35
1030,0.177918,0.97
1031,0.125083,0.24
1032,0.108012,0.43
1033,0.155527,0.93
1034,0.113458,0.39
1035,0.118828,0.5
1036,0.17948,0.92
1037,0.289888,0.99
1038,0.126482,0.63
1039,0.106507,0.65
1040,0.146165,0.86
1041,0.134375,0.82
1042,0.113395,0.4
1043,0.181545,0.96
1044,0.111032,0.41
1045,0.125768,0.68
1046,0.251625,1
1047,0.13505,0.49
1048,0.143716,0.77
1049,0.204458,0.99
1050,0.123811,0.54
1051,0.111893,0.31
1052,0.161808,0.92
1053,0.16854,0.97
1054,0.146362,0.69
1055,0.12269,0.43
1056,0.149361,0.68
1057,0.110295,0.42
1058,0.118681,0.44
1059,0.11382,0.35
1060,0.11071,0.51
1061,0.214114,1
1062,0.120406,0.34
1063,0.123153,0.61
1064,0.12125,0.55
1065,0.266536,0.97
1066,0.165937,0.93
1067,0.156914,0.91
1068,0.15099,0.87
1069,0.175024,0.83
1070,0.261587,0.99
1071,0.121961,0.67
1072,0.150507,0.87
1073,0.12973,0.72
1074,0.115027,0.39
1075,0.10502,0.31
1076,0.236377,0.88
1077,0.16956,0.92
1078,0.116066,0.2
1079,0.162789,0.96
1080,0.107952,0.25
1081,0.223424,0.97
1082,0.0965995,0.29
1083,0.173749,0.98
1084,0.113462,0.54
1085,0.128807,0.43
1086,0.231688,0.97
1087,0.111694,0.58
1088,0.162392,0.95
1089,0.112442,0.38
1090,0.1537,0.93
1091,0.136282,0.83
1092,0.201079,1
1093,0.1401,0.68
1094,0.173698,0.96
1095,0.214119,0.96
1096,0.101558,0.22
1097,0.133513,0.61
1098,0.146314,0.79
1099,0.197573,0.94
1100,0.123248,0.77
1101,0.138133,0.79
1102,0.126107,0.63
1103,0.160808,0.82
1104,0.152212,0.72
1105,0.107506,0.29
1106,0.118316,0.63
1107,0.178373,0.95
1108,0.188524,0.96
1109,0.131877,0.62
1110,0.157957,0.98
1111,0.482051,1
1112,0.241298,0.99
1113,0.149035,0.32
1114,0.139575,0.87
1115,0.168305,0.95
1116,0.167691,0.92
1117,0.126918,0.67
1118,0.150338,0.88
1119,0.222038,0.99
1120,0.173594,0.92
1121,0.107675,0.34
1122,0.153289,0.85
1123,0.136988,0.67
1124,0.101161,0.47
1125,0.210378,0.99
1126,0.312599,1
1127,0.127358,0.56
1128,0.123352,0.66
1129,0.104538,0.34
1130,0.102982,0.26
1131,0.110836,0.5
1132,0.161431,0.93
1133,0.147794,0.88
1134,0.124273,0.51
1135,0.126117,0.57
1136,0.334013,1
1137,0.127337,0.68
1138,0.132533,0.73
1139,0.15802,0.91
1140,0.143938,0.85
1141,0.19134,0.92
1142,0.182049,0.95
1143,0.2078,1
1144,0.119077,0.46
1145,0.151025,0.88
1146,0.101277,0.21
1147,0.117245,0.35
1148,0.166849,0.86
1149,0.100849,0.26
1150,0.197468,0.98
1151,0.111271,0.51
1152,0.114224,0.52
1153,0.165391,0.93
1154,0.184182,0.96
1155,0.10861,0.27
1156,0.144794,0.85
1157,0.139749,0.74
1158,0.277068,0.98
1159,0.141666,0.89
1160,0.178423,0.91
1161,0.138882,0.83
1162,0.155977,0.89
1163,0.10945,0.28
1164,0.154197,0.86
1165,0.0999653,0.32
1166,0.106921,0.21
1167,0.155296,0.9
1168,0.159026,0.93
1169,0.118084,0.42
1170,0.160271,0.94
1171,0.120715,0.42
1172,0.128908,0.41
1173,0.172796,0.99
1174,0.11246,0.42
1175,0.13919,0.65
1176,0.138826,0.76
1177,0.138109,0.8
1178,0.203564,0.96
1179,0.108448,0.27
1180,0.253909,0.98
1181,0.170298,0.88
1182,0.124619,0.43
1183,0.107445,0.23
1184,0.135711,0.79
1185,0.173482,0.94
1186,0.112071,0.32
1187,0.117558,0.56
1188,0.106824,0.33
1189,0.138821,0.78
1190,0.194317,0.99
1191,0.138018,0.84
1192,0.160968,0.89
1193,0.134982,0.75
1194,0.136354,0.92
1195,0.124221,0.69
1196,0.283126,0.99
1197,0.105514,0.49
1198,0.111562,0.33
1199,0.143132,0.76
1200,0.170736,0.84
1201,0.131677,0.75
1202,0.103548,0.24
1203,0.24006,0.98
1204,0.144388,0.92
1205,0.19597,0.94
1206,0.138648,0.68
1207,0.0989588,0.09
1208,0.117951,0.64
1209,0.145892,0.83
1210,0.120063,0.66
1211,0.150358,0.85
1212,0.144228,0.79
1213,0.13222,0.53
1214,0.165935,0.92
1215,0.104833,0.33
1216,0.145923,0.88
1217,0.17319,0.92
1218,0.148316,0.85
